id1,id2,LM0,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8,LM9,LM10,LM11
63001.jpg,63001.jpg,17.46424919657298,31.25699921617557,33.13608305156178,29.120439557122072,17.11724276862369,13.601470508735444,19.924858845171276,18.24828759089466,15.297058540778355,16.492422502470642,11.704699910719626,12.165525060596439
63002.jpg,63002.jpg,6.708203932499369,16.64331697709324,17.029386365926403,9.433981132056603,15.620499351813308,19.4164878389476,6.324555320336759,6.324555320336759,13.038404810405298,10.63014581273465,16.278820596099706,17.88854381999832
63003.jpg,63003.jpg,32.01562118716424,24.041630560342615,26.019223662515376,23.769728648009426,27.202941017470888,27.313000567495326,31.144823004794873,28.460498941515414,27.892651361962706,25.0,27.294688127912362,30.4138126514911
63004.jpg,63004.jpg,43.01162633521314,38.05259518088089,36.124783736376884,45.0,61.98386886924694,70.8590149522275,52.55473337388365,54.405882034941776,59.665735560705194,58.463663928973865,64.8459713474939,69.12307863514182
63005.jpg,63005.jpg,11.180339887498949,18.110770276274835,19.235384061671343,25.059928172283335,6.082762530298219,4.242640687119285,7.280109889280518,12.529964086141668,10.295630140987,9.899494936611665,4.242640687119285,5.385164807134504
63006.jpg,63006.jpg,33.06055050963308,30.01666203960727,32.14031735997639,27.459060435491963,30.805843601498726,29.427877939124322,30.0,32.01562118716424,30.01666203960727,29.274562336608895,28.160255680657446,31.144823004794873
63007.jpg,63007.jpg,13.0,19.0,20.0,21.840329667841555,13.45362404707371,4.47213595499958,13.601470508735444,13.416407864998739,11.045361017187261,11.045361017187261,7.615773105863909,4.0
63008.jpg,63008.jpg,9.433981132056603,6.708203932499369,7.280109889280518,7.280109889280518,10.770329614269007,12.041594578792296,10.0,11.180339887498949,11.045361017187261,12.165525060596439,9.0,13.0
63009.jpg,63009.jpg,24.186773244895647,35.05709628591621,33.015148038438355,36.40054944640259,14.560219778561036,9.219544457292887,18.24828759089466,18.110770276274835,15.652475842498529,15.811388300841896,9.219544457292887,6.708203932499369
63010.jpg,63010.jpg,6.708203932499369,5.0,5.830951894845301,4.242640687119285,15.620499351813308,19.79898987322333,10.04987562112089,8.94427190999916,13.0,12.0,18.439088914585774,18.681541692269406
63011.jpg,63011.jpg,6.708203932499369,18.027756377319946,15.524174696260024,14.560219778561036,4.242640687119285,8.602325267042627,4.123105625617661,3.0,6.082762530298219,5.656854249492381,9.433981132056603,7.0
63012.jpg,63012.jpg,6.082762530298219,5.0,8.0,12.206555615733702,6.708203932499369,9.848857801796104,9.055385138137417,7.0710678118654755,7.280109889280518,5.0990195135927845,6.324555320336759,8.06225774829855
63014.jpg,63014.jpg,14.035668847618199,12.165525060596439,8.246211251235321,13.892443989449804,14.560219778561036,10.198039027185569,19.026297590440446,16.64331697709324,17.72004514666935,15.811388300841896,17.4928556845359,18.027756377319946
63015.jpg,63015.jpg,16.97056274847714,10.0,9.0,5.385164807134504,2.8284271247461903,11.180339887498949,9.486832980505138,5.0990195135927845,4.123105625617661,8.0,7.211102550927978,5.385164807134504
63016.jpg,63016.jpg,10.44030650891055,18.384776310850235,23.194827009486403,21.095023109728988,5.0,6.324555320336759,3.605551275463989,8.602325267042627,2.23606797749979,4.123105625617661,3.605551275463989,4.0
63017.jpg,63017.jpg,2.8284271247461903,10.295630140987,5.385164807134504,11.661903789690601,7.0710678118654755,6.4031242374328485,6.082762530298219,5.0990195135927845,1.0,1.0,2.0,2.8284271247461903
63019.jpg,63019.jpg,16.278820596099706,12.165525060596439,18.439088914585774,18.027756377319946,22.02271554554524,19.4164878389476,17.029386365926403,19.235384061671343,19.6468827043885,20.09975124224178,19.6468827043885,23.194827009486403
63020.jpg,63020.jpg,2.23606797749979,2.23606797749979,2.23606797749979,5.0,12.0,15.0,4.0,10.0,11.180339887498949,8.54400374531753,14.317821063276353,16.492422502470642
63021.jpg,63021.jpg,20.396078054371138,15.033296378372908,12.36931687685298,17.46424919657298,26.476404589747453,31.144823004794873,23.259406699226016,20.396078054371138,24.186773244895647,25.019992006393608,28.160255680657446,29.068883707497267
63022.jpg,63022.jpg,7.280109889280518,9.055385138137417,14.142135623730951,12.36931687685298,5.0,4.47213595499958,12.083045973594572,7.280109889280518,5.830951894845301,6.708203932499369,7.810249675906654,6.4031242374328485
63023.jpg,63023.jpg,8.246211251235321,5.0,11.0,9.848857801796104,9.055385138137417,13.892443989449804,6.0,9.0,9.433981132056603,13.038404810405298,12.529964086141668,7.0
63024.jpg,63024.jpg,7.0710678118654755,8.54400374531753,12.165525060596439,11.40175425099138,6.4031242374328485,8.06225774829855,7.211102550927978,3.605551275463989,3.1622776601683795,4.242640687119285,5.0990195135927845,4.123105625617661
63025.jpg,63025.jpg,2.0,2.8284271247461903,4.0,10.0,3.1622776601683795,1.0,3.1622776601683795,1.0,2.23606797749979,3.605551275463989,4.242640687119285,4.123105625617661
63026.jpg,63026.jpg,21.213203435596427,21.840329667841555,22.360679774997898,24.596747752497688,17.26267650163207,18.681541692269406,19.026297590440446,15.033296378372908,17.0,18.027756377319946,14.866068747318506,14.035668847618199
63027.jpg,63027.jpg,12.041594578792296,13.038404810405298,9.055385138137417,7.211102550927978,2.8284271247461903,4.242640687119285,8.246211251235321,3.0,2.23606797749979,3.605551275463989,3.605551275463989,5.0990195135927845
63029.jpg,63029.jpg,25.0,26.019223662515376,28.284271247461902,34.52535300326414,22.20360331117452,26.570660511172846,17.46424919657298,26.019223662515376,22.20360331117452,24.08318915758459,23.40939982143925,25.079872407968907
63030.jpg,63030.jpg,6.4031242374328485,10.770329614269007,12.083045973594572,12.36931687685298,9.219544457292887,8.602325267042627,6.0,6.708203932499369,5.656854249492381,2.23606797749979,10.63014581273465,12.165525060596439
63031.jpg,63031.jpg,10.295630140987,17.11724276862369,16.0312195418814,14.212670403551895,7.0710678118654755,13.45362404707371,5.0990195135927845,3.605551275463989,3.605551275463989,3.1622776601683795,7.280109889280518,8.06225774829855
63032.jpg,63032.jpg,17.26267650163207,15.132745950421556,13.038404810405298,15.297058540778355,8.94427190999916,12.165525060596439,11.40175425099138,16.0,10.0,12.0,10.770329614269007,10.04987562112089
63033.jpg,63033.jpg,5.0,7.0,7.0,12.806248474865697,2.23606797749979,9.055385138137417,4.47213595499958,7.280109889280518,3.1622776601683795,3.0,3.0,5.656854249492381
63034.jpg,63034.jpg,12.529964086141668,10.0,20.12461179749811,14.317821063276353,11.180339887498949,8.54400374531753,7.0710678118654755,7.0710678118654755,8.06225774829855,6.708203932499369,8.54400374531753,4.242640687119285
63035.jpg,63035.jpg,4.242640687119285,18.110770276274835,12.36931687685298,25.495097567963924,9.848857801796104,12.083045973594572,2.8284271247461903,5.0990195135927845,9.219544457292887,7.280109889280518,12.041594578792296,14.560219778561036
63036.jpg,63036.jpg,19.4164878389476,32.7566787083184,27.16615541441225,29.068883707497267,13.892443989449804,9.219544457292887,13.152946437965905,15.132745950421556,13.341664064126334,14.035668847618199,14.866068747318506,9.899494936611665
63037.jpg,63037.jpg,40.792156108742276,61.0,64.38167441127949,50.92150822589606,12.206555615733702,6.082762530298219,32.0624390837628,27.65863337187866,16.1245154965971,15.297058540778355,7.0710678118654755,6.324555320336759
63038.jpg,63038.jpg,12.041594578792296,14.035668847618199,9.433981132056603,21.095023109728988,25.612496949731394,25.298221281347036,11.180339887498949,9.433981132056603,13.152946437965905,11.180339887498949,17.029386365926403,21.540659228538015
63039.jpg,63039.jpg,4.0,11.661903789690601,10.0,1.0,6.708203932499369,2.0,3.1622776601683795,12.041594578792296,2.23606797749979,4.242640687119285,9.219544457292887,7.615773105863909
63042.jpg,63042.jpg,7.211102550927978,5.385164807134504,3.0,8.602325267042627,4.0,6.324555320336759,2.8284271247461903,5.0,2.8284271247461903,4.242640687119285,2.8284271247461903,4.123105625617661
63043.jpg,63043.jpg,6.324555320336759,3.605551275463989,7.211102550927978,8.602325267042627,3.605551275463989,5.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,3.1622776601683795,6.324555320336759,5.385164807134504
63045.jpg,63045.jpg,16.55294535724685,17.26267650163207,15.132745950421556,14.317821063276353,17.029386365926403,9.055385138137417,19.0,11.180339887498949,16.55294535724685,15.811388300841896,13.601470508735444,13.341664064126334
63046.jpg,63046.jpg,14.422205101855956,10.295630140987,8.06225774829855,8.54400374531753,12.165525060596439,14.0,16.492422502470642,12.041594578792296,14.422205101855956,13.601470508735444,13.601470508735444,13.038404810405298
63048.jpg,63048.jpg,9.219544457292887,7.0710678118654755,2.0,10.63014581273465,11.40175425099138,14.035668847618199,8.602325267042627,7.280109889280518,8.246211251235321,10.198039027185569,10.63014581273465,9.219544457292887
63049.jpg,63049.jpg,12.529964086141668,11.045361017187261,14.035668847618199,14.317821063276353,5.830951894845301,8.06225774829855,9.486832980505138,12.0,8.0,8.06225774829855,4.47213595499958,3.605551275463989
63050.jpg,63050.jpg,4.0,1.4142135623730951,4.47213595499958,3.0,6.082762530298219,11.661903789690601,2.0,6.324555320336759,7.810249675906654,8.48528137423857,15.0,7.211102550927978
63051.jpg,63051.jpg,2.23606797749979,2.23606797749979,4.242640687119285,3.1622776601683795,10.04987562112089,12.36931687685298,2.23606797749979,2.23606797749979,7.0710678118654755,7.0710678118654755,8.06225774829855,8.246211251235321
63052.jpg,63052.jpg,18.384776310850235,13.152946437965905,12.041594578792296,16.278820596099706,15.033296378372908,15.033296378372908,18.027756377319946,18.439088914585774,18.0,17.029386365926403,16.492422502470642,19.235384061671343
63054.jpg,63054.jpg,14.142135623730951,4.0,4.47213595499958,7.615773105863909,11.40175425099138,16.278820596099706,11.0,13.0,9.848857801796104,12.649110640673518,13.341664064126334,14.142135623730951
63056.jpg,63056.jpg,2.23606797749979,1.4142135623730951,4.242640687119285,8.246211251235321,3.0,4.123105625617661,4.0,4.123105625617661,2.8284271247461903,2.23606797749979,2.23606797749979,2.8284271247461903
63057.jpg,63057.jpg,11.180339887498949,9.433981132056603,6.324555320336759,15.231546211727817,11.704699910719626,12.165525060596439,9.848857801796104,15.264337522473747,12.165525060596439,13.152946437965905,16.97056274847714,9.0
63058.jpg,63058.jpg,10.0,4.47213595499958,9.848857801796104,11.661903789690601,13.92838827718412,16.401219466856727,9.219544457292887,8.06225774829855,11.180339887498949,11.40175425099138,12.083045973594572,12.649110640673518
63061.jpg,63061.jpg,2.23606797749979,10.04987562112089,14.0,2.8284271247461903,9.486832980505138,11.045361017187261,10.0,3.605551275463989,9.486832980505138,9.219544457292887,14.866068747318506,11.045361017187261
63062.jpg,63062.jpg,13.601470508735444,4.123105625617661,4.242640687119285,6.708203932499369,15.524174696260024,21.095023109728988,10.816653826391969,11.0,12.0,14.0,17.0,15.811388300841896
63063.jpg,63063.jpg,15.132745950421556,19.026297590440446,13.0,15.264337522473747,7.280109889280518,5.0,13.341664064126334,8.0,7.211102550927978,7.0710678118654755,5.0,8.06225774829855
63064.jpg,63064.jpg,7.0710678118654755,3.1622776601683795,3.1622776601683795,14.317821063276353,6.708203932499369,12.083045973594572,2.23606797749979,4.47213595499958,5.385164807134504,5.0,6.324555320336759,5.830951894845301
63065.jpg,63065.jpg,2.8284271247461903,10.295630140987,6.4031242374328485,13.038404810405298,15.264337522473747,13.152946437965905,10.0,9.055385138137417,10.770329614269007,12.083045973594572,13.0,12.36931687685298
63067.jpg,63067.jpg,15.620499351813308,18.0,18.24828759089466,23.021728866442675,14.035668847618199,20.396078054371138,8.246211251235321,15.0,16.64331697709324,16.55294535724685,18.35755975068582,18.788294228055936
63069.jpg,63069.jpg,13.0,16.0312195418814,14.142135623730951,9.055385138137417,10.0,10.816653826391969,12.0,10.0,11.661903789690601,12.806248474865697,10.63014581273465,4.123105625617661
63070.jpg,63070.jpg,11.180339887498949,11.0,17.11724276862369,10.198039027185569,8.06225774829855,5.0,17.029386365926403,7.0710678118654755,9.848857801796104,8.246211251235321,5.830951894845301,2.0
63071.jpg,63071.jpg,8.94427190999916,4.47213595499958,0.0,5.0990195135927845,7.0710678118654755,11.180339887498949,5.385164807134504,4.47213595499958,5.0,5.830951894845301,4.123105625617661,8.06225774829855
